INSPECTION_DATE,BOROUGH,count
2016-02-29,Manhattan,633
2016-02-29,Queens,114
2016-02-29,Staten Island,51
2016-03-31,Bronx,763
2016-03-31,Brooklyn,756
2016-03-31,Manhattan,732
2016-03-31,Queens,104
2016-03-31,Staten Island,16
2016-04-30,Bronx,648
2016-04-30,Brooklyn,659
2016-04-30,Manhattan,663
2016-04-30,Queens,185
2016-04-30,Staten Island,32
2016-05-31,Bronx,619
2016-05-31,Brooklyn,388
2016-05-31,Manhattan,390
2016-05-31,Queens,158
2016-05-31,Staten Island,19
2016-06-30,Bronx,562
2016-06-30,Brooklyn,445
2016-06-30,Manhattan,415
2016-06-30,Queens,135
2016-06-30,Staten Island,23
2016-07-31,Bronx,804
2016-07-31,Brooklyn,575
2016-07-31,Manhattan,441
2016-07-31,Queens,96
2016-07-31,Staten Island,22
2016-08-31,Bronx,784
2016-08-31,Brooklyn,508
2016-08-31,Manhattan,599
2016-08-31,Queens,168
2016-08-31,Staten Island,18
2016-09-30,Bronx,530
2016-09-30,Brooklyn,517
2016-09-30,Manhattan,620
2016-09-30,Queens,175
2016-09-30,Staten Island,17
2016-10-31,Bronx,843
2016-10-31,Brooklyn,487
2016-10-31,Manhattan,907
2016-10-31,Queens,126
2016-10-31,Staten Island,27
2016-11-30,Bronx,877
2016-11-30,Brooklyn,470
2016-11-30,Manhattan,481
2016-11-30,Queens,101
2016-11-30,Staten Island,10
2016-12-31,Bronx,872
2016-12-31,Brooklyn,498
2016-12-31,Manhattan,715
2016-12-31,Queens,143
2016-12-31,Staten Island,17
2017-01-31,Bronx,1029
2017-01-31,Brooklyn,578
2017-01-31,Manhattan,591
2017-01-31,Queens,138
2017-01-31,Staten Island,13
2017-02-28,Bronx,992
2017-02-28,Brooklyn,725
2017-02-28,Manhattan,728
2017-02-28,Queens,164
2017-02-28,Staten Island,30
2017-03-31,Bronx,976
2017-03-31,Brooklyn,483
2017-03-31,Manhattan,600
2017-03-31,Queens,138
2017-03-31,Staten Island,32
2017-04-30,Bronx,1126
2017-04-30,Brooklyn,541
2017-04-30,Manhattan,923
2017-04-30,Queens,108
2017-04-30,Staten Island,38
2017-05-31,Bronx,953
2017-05-31,Brooklyn,719
2017-05-31,Manhattan,819
2017-05-31,Queens,166
2017-05-31,Staten Island,42
2017-06-30,Bronx,1271
2017-06-30,Brooklyn,714
2017-06-30,Manhattan,726
2017-06-30,Queens,206
2017-06-30,Staten Island,29
2017-07-31,Bronx,720
2017-07-31,Brooklyn,588
2017-07-31,Manhattan,573
2017-07-31,Queens,109
2017-07-31,Staten Island,46
2017-08-31,Bronx,889
2017-08-31,Brooklyn,1000
2017-08-31,Manhattan,711
2017-08-31,Queens,111
2017-08-31,Staten Island,21
2017-09-30,Bronx,827
2017-09-30,Brooklyn,861
2017-09-30,Manhattan,695
2017-09-30,Queens,98
2017-09-30,Staten Island,10
2017-10-31,Bronx,820
2017-10-31,Brooklyn,833
2017-10-31,Manhattan,781
2017-10-31,Queens,110
2017-10-31,Staten Island,24
2017-11-30,Bronx,615
2017-11-30,Brooklyn,1404
2017-11-30,Manhattan,689
2017-11-30,Queens,72
2017-11-30,Staten Island,11
2017-12-31,Bronx,856
2017-12-31,Brooklyn,867
2017-12-31,Manhattan,479
2017-12-31,Queens,106
2017-12-31,Staten Island,6
